! ................ store .................    6.1.0010 CORE ............ 25
# ................ number-sign ...........    6.1.0030 CORE ............ 25
#> ............... number-sign-greater ...    6.1.0040 CORE ............ 25
#S ............... number-sign-s .........    6.1.0050 CORE ............ 25
RENAME-FILE ...... ....................... 11.6.2.2130 FILE EXT ........ 86
>FLOAT ........... to-float .............. 12.6.1.0558 FLOATING ........ 91
D>F .............. d-to-f ................ 12.6.1.1130 FLOATING ........ 91
F! ............... f-store ............... 12.6.1.1400 FLOATING ........ 91
F* ............... f-star ................ 12.6.1.1410 FLOATING ........ 91
F+ ............... f-plus ................ 12.6.1.1420 FLOATING ........ 91
F- ............... f-minus ............... 12.6.1.1425 FLOATING ........ 91
F/ ............... f-slash ............... 12.6.1.1430 FLOATING ........ 92
F0< .............. f-zero-less-than ...... 12.6.1.1440 FLOATING ........ 92
F0= .............. f-zero-equals ......... 12.6.1.1450 FLOATING ........ 92
F< ............... f-less-than ........... 12.6.1.1460 FLOATING ........ 92
F>D .............. f-to-d ................ 12.6.1.1470 FLOATING ........ 92
F@ ............... f-fetch ............... 12.6.1.1472 FLOATING ........ 92
FALIGN ........... f-align ............... 12.6.1.1479 FLOATING ........ 92
FALIGNED ......... f-aligned ............. 12.6.1.1483 FLOATING ........ 92
FCONSTANT ........ f-constant ............ 12.6.1.1492 FLOATING ........ 93
FDEPTH ........... f-depth ............... 12.6.1.1497 FLOATING ........ 93
FDROP ............ f-drop ................ 12.6.1.1500 FLOATING ........ 93
FDUP ............. f-dupe ................ 12.6.1.1510 FLOATING ........ 93
FLITERAL ......... f-literal ............. 12.6.1.1552 FLOATING ........ 93
FLOAT+ ........... float-plus ............ 12.6.1.1555 FLOATING ........ 93
FLOATS ........... ....................... 12.6.1.1556 FLOATING ........ 94
FLOOR ............ ....................... 12.6.1.1558 FLOATING ........ 94
FMAX ............. f-max ................. 12.6.1.1562 FLOATING ........ 94
FMIN ............. f-min ................. 12.6.1.1565 FLOATING ........ 94
FNEGATE .......... f-negate .............. 12.6.1.1567 FLOATING ........ 94
FOVER ............ f-over ................ 12.6.1.1600 FLOATING ........ 94
FROT ............. f-rote ................ 12.6.1.1610 FLOATING ........ 94
FROUND ........... f-round ............... 12.6.1.1612 FLOATING ........ 94
FSWAP ............ f-swap ................ 12.6.1.1620 FLOATING ........ 94
FVARIABLE ........ f-variable ............ 12.6.1.1630 FLOATING ........ 95
REPRESENT ........ ....................... 12.6.1.2143 FLOATING ........ 95
DF! .............. d-f-store ............. 12.6.2.1203 FLOATING EXT .... 95
DF@ .............. d-f-fetch ............. 12.6.2.1204 FLOATING EXT .... 96
DFALIGN .......... d-f-align ............. 12.6.2.1205 FLOATING EXT .... 96
DFALIGNED ........ d-f-aligned ........... 12.6.2.1207 FLOATING EXT .... 96
DFLOAT+ .......... d-float-plus .......... 12.6.2.1208 FLOATING EXT .... 96
DFLOATS .......... d-floats .............. 12.6.2.1209 FLOATING EXT .... 96
F** .............. f-star-star ........... 12.6.2.1415 FLOATING EXT .... 96
F. ............... f-dot ................. 12.6.2.1427 FLOATING EXT .... 97
FABS ............. f-abs ................. 12.6.2.1474 FLOATING EXT .... 97
FACOS ............ f-a-cos ............... 12.6.2.1476 FLOATING EXT .... 97
FACOSH ........... f-a-cosh .............. 12.6.2.1477 FLOATING EXT .... 97
FALOG ............ f-a-log ............... 12.6.2.1484 FLOATING EXT .... 97
FASIN ............ f-a-sine .............. 12.6.2.1486 FLOATING EXT .... 97
FASINH ........... f-a-cinch ............. 12.6.2.1487 FLOATING EXT .... 97
FATAN ............ f-a-tan ............... 12.6.2.1488 FLOATING EXT .... 98
FATAN2 ........... f-a-tan-two ........... 12.6.2.1489 FLOATING EXT .... 98
FATANH ........... f-a-tan-h ............. 12.6.2.1491 FLOATING EXT .... 98
FCOS ............. f-cos ................. 12.6.2.1493 FLOATING EXT .... 98
FCOSH ............ f-cosh ................ 12.6.2.1494 FLOATING EXT .... 98
FE. .............. f-e-dot ............... 12.6.2.1513 FLOATING EXT .... 98
FEXP ............. f-e-x-p ............... 12.6.2.1515 FLOATING EXT .... 98
FEXPM1 ........... f-e-x-p-m-one ......... 12.6.2.1516 FLOATING EXT .... 99
FLN .............. f-l-n ................. 12.6.2.1553 FLOATING EXT .... 99
FLNP1 ............ f-l-n-p-one ........... 12.6.2.1554 FLOATING EXT .... 99
FLOG ............. f-log ................. 12.6.2.1557 FLOATING EXT .... 99
FS. .............. f-s-dot ............... 12.6.2.1613 FLOATING EXT .... 99
FSIN ............. f-sine ................ 12.6.2.1614 FLOATING EXT .... 99
FSINCOS .......... f-sine-cos ............ 12.6.2.1616 FLOATING EXT ... 100
FSINH ............ f-cinch ............... 12.6.2.1617 FLOATING EXT ... 100
FSQRT ............ f-square-root ......... 12.6.2.1618 FLOATING EXT ... 100
FTAN ............. f-tan ................. 12.6.2.1625 FLOATING EXT ... 100
FTANH ............ f-tan-h ............... 12.6.2.1626 FLOATING EXT ... 100
F~ ............... f-proximate ........... 12.6.2.1640 FLOATING EXT ... 100
PRECISION ........ ....................... 12.6.2.2035 FLOATING EXT ... 100
SET-PRECISION .... ....................... 12.6.2.2200 FLOATING EXT ... 100
SF! .............. s-f-store ............. 12.6.2.2202 FLOATING EXT ... 101
SF@ .............. s-f-fetch ............. 12.6.2.2203 FLOATING EXT ... 101
SFALIGN .......... s-f-align ............. 12.6.2.2204 FLOATING EXT ... 101
SFALIGNED ........ s-f-aligned ........... 12.6.2.2206 FLOATING EXT ... 101
SFLOAT+ .......... s-float-plus .......... 12.6.2.2207 FLOATING EXT ... 101
SFLOATS .......... s-floats .............. 12.6.2.2208 FLOATING EXT ... 101
(LOCAL) .......... paren-local-paren ..... 13.6.1.0086 LOCAL .......... 105
TO ............... ....................... 13.6.1.2295 LOCAL .......... 106
LOCALS| .......... locals-bar ............ 13.6.2.1795 LOCAL EXT ...... 106
ALLOCATE ......... ....................... 14.6.1.0707 MEMORY ......... 109
FREE ............. ....................... 14.6.1.1605 MEMORY ......... 109
RESIZE ........... ....................... 14.6.1.2145 MEMORY ......... 109
.S ............... dot-s ................. 15.6.1.0220 TOOLS .......... 112
? ................ question .............. 15.6.1.0600 TOOLS .......... 112
DUMP ............. ....................... 15.6.1.1280 TOOLS .......... 112
SEE .............. ....................... 15.6.1.2194 TOOLS .......... 112
WORDS ............ ....................... 15.6.1.2465 TOOLS .......... 113
;CODE ............ semicolon-code ........ 15.6.2.0470 TOOLS EXT ...... 113
AHEAD ............ ....................... 15.6.2.0702 TOOLS EXT ...... 113
ASSEMBLER ........ ....................... 15.6.2.0740 TOOLS EXT ...... 114
